date,revenue,orders,website_traffic,marketing_spend,new_customers,returning_customers,engagement_rate,conversion_rate,average_order_value,revenue_growth,traffic_growth,customer_growth
2026-05-20,12180.95,148,4129,747.59,97,51,42.68,3.58,82.3,0.0,0.0,0.0
2026-05-21,8733.48,108,3959,756.21,69,39,41.9,2.73,80.87,-28.3,-4.12,-27.03
2026-05-22,8795.69,124,4187,722.07,84,40,41.46,2.96,70.93,0.71,5.76,14.81
2026-05-23,13265.42,172,5074,898.58,106,66,39.81,3.39,77.12,50.82,21.18,38.71
2026-05-24,10505.96,139,4591,808.74,85,54,40.67,3.03,75.58,-20.8,-9.52,-19.19
2026-05-25,11100.26,140,3964,647.66,93,47,44.03,3.53,79.29,5.66,-13.66,0.72
2026-05-26,10359.43,153,4480,819.73,92,61,43.42,3.42,67.71,-6.67,13.02,9.29
2026-05-27,10191.03,134,4261,778.73,91,43,39.75,3.14,76.05,-1.63,-4.89,-12.42
2026-05-28,9048.38,116,3922,706.19,67,49,42.47,2.96,78.0,-11.21,-7.96,-13.43
2026-05-29,7168.71,112,4214,747.96,76,36,44.13,2.66,64.01,-20.77,7.45,-3.45
2026-05-30,9510.11,142,4583,761.25,83,59,38.1,3.1,66.97,32.66,8.76,26.79
2026-05-31,10421.75,166,4591,807.45,111,55,43.66,3.62,62.78,9.59,0.17,16.9
2026-06-01,10471.07,146,4154,732.3,92,54,40.68,3.51,71.72,0.47,-9.52,-12.05
2026-06-02,7213.87,94,3558,604.34,64,30,43.79,2.64,76.74,-31.11,-14.35,-35.62
2026-06-03,10579.07,131,3619,644.16,77,54,40.48,3.62,80.76,46.65,1.71,39.36
2026-06-04,9212.98,125,3952,729.54,79,46,37.9,3.16,73.7,-12.91,9.2,-4.58
2026-06-05,9216.88,113,3834,775.0,76,37,38.38,2.95,81.57,0.04,-2.99,-9.6
2026-06-06,10990.75,165,4865,883.56,104,61,42.59,3.39,66.61,19.25,26.89,46.02
2026-06-07,9827.55,151,4532,827.35,97,54,43.15,3.33,65.08,-10.58,-6.84,-8.48
2026-06-08,7708.17,105,3746,670.93,68,37,40.27,2.8,73.41,-21.57,-17.34,-30.46
2026-06-09,11733.21,155,4560,734.46,97,58,44.15,3.4,75.7,52.22,21.73,47.62
2026-06-10,10318.45,140,4094,735.73,90,50,38.43,3.42,73.7,-12.06,-10.22,-9.68
2026-06-11,9606.37,151,4184,755.83,96,55,42.45,3.61,63.62,-6.9,2.2,7.86
2026-06-12,10524.63,143,3775,790.35,96,47,39.61,3.79,73.6,9.56,-9.78,-5.3
2026-06-13,9059.87,134,4689,835.36,78,56,41.04,2.86,67.61,-13.92,24.21,-6.29
2026-06-14,11015.02,142,4882,892.33,86,56,42.81,2.91,77.57,21.58,4.12,5.97
